title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,ratings_per_page,page_group,cluster,nome_cluster
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks,105.51481481481481,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,1550,2012-09-25,Ballantine Books,58.58391203703704,1001-2000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,1.4442567567567568,1001-2000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,5349.105527638191,301-500,2,"Cluster 2: Classificação Baixa, Poucas Páginas"
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,eng,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,1.330592105263158,1001-2000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,90.92660550458716,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,2004-11-15,Houghton Mifflin Harcourt,1.6026785714285714,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,59,2005-07-28,Pragmatic Bookshelf,2.5627240143369177,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,1299.25,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48,36,2,1994-08-28,Teacher Created Resources,0.75,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,2001-01-23,Delacorte Press,14.354166666666666,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,0,2003-06-10,Cherry Lane Music Company,0.10714285714285714,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,eng,228,99,16,2005-11-01,The New Press,0.4342105263157895,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,2005-11-01,Changeling Press,0.5493421052631579,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,111,2006-08-17,Viking Juvenile,3.8203125,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,302,2003-04-14,Firebird,32.51094890510949,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,2004-06-08,iUniverse,5.157894736842105,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Changeling,Kate Horsley,3.55,eng,339,301,43,2005-04-12,Shambhala,0.887905604719764,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,12,1990-08-28,Ivy Books,0.9349593495934959,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Known World,Edward P. Jones,3.83,eng,388,29686,2626,2006-08-29,Amistad,76.51030927835052,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Known World,Edward P. Jones/Kevin R. Free,3.83,eng,14,55,12,2004-06-15,HarperAudio,3.9285714285714284,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Known World,Edward P. Jones,3.83,eng,576,22,3,2004-06-15,Harper,0.03819444444444445,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,2006-05-15,FT Press,4.359281437125748,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,2005-12-14,Archaia,0.14772727272727273,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,37,1982-06-01,Farrar  Straus and Giroux,1.3509615384615385,301-500,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Uncommon Carriers,John McPhee,3.95,eng,248,1630,203,2006-05-16,Farrar Straus Giroux,6.57258064516129,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Heirs of General Practice,John McPhee,4.17,eng,128,268,22,1986-04-01,Farrar  Straus and Giroux,2.09375,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Control of Nature,John McPhee,4.24,eng,288,3498,305,1990-09-01,Farrar  Straus and Giroux,12.145833333333334,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Annals of the Former World,John McPhee,4.34,eng,720,3115,228,1999-01-06,Farrar  Straus and Giroux,4.326388888888889,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Coming Into the Country,John McPhee,4.22,eng,448,5704,261,1991-04-01,Farrar  Straus and Giroux,12.732142857142858,301-500,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,1994-04-01,Farrar  Straus and Giroux,4.3625,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Giving Good Weight,John McPhee,4.23,eng,288,542,36,1994-04-01,Farrar  Straus and Giroux,1.8819444444444444,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Rising from the Plains,John McPhee,4.23,eng,208,1341,98,1987-11-01,Farrar  Straus and Giroux,6.447115384615385,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,2002-03-01,Dramatists Play Service,17.567901234567902,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,1991-07-02,Vintage,11.108433734939759,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,1,2006-03-29,Routledge,0.2246376811594203,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,eng,128,62,4,2006-03-14,North Light Books,0.484375,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,2003-09-01,Chosen Books,4.479166666666667,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,eng,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,0.7129629629629629,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,2257,2002-11-15,Kingfisher,435.55965909090907,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,5,2004-11-15,ASCD,0.2864583333333333,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,6,2003-04-28,Sovereign World,0.17708333333333334,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,2003-10-16,Workman Publishing Company,14.179086538461538,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,2004-05-10,One Hour Entertainment,0.2764227642276423,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,eng,128,78,4,2004-08-19,North Light Books,0.609375,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,166,1987-06-15,Ace Books,6.583924349881797,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,1987-07-01,Ace Books,88.94036697247707,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,1987-07-15,Ace Books,294.5438066465257,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,eng,592,784,21,2004-07-01,Tor Books,1.3243243243243243,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,20,1984-04-16,Putnam,0.5666666666666667,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,2006-08-29,Tor Science Fiction,11.241784037558686,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,1987-08-15,Ace Books,96.36518046709129,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,136.21354166666666,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,4551,1996-09-29,Ballantine Books,127.14522058823529,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,13,2005-09-13,Delacorte Books for Young Readers,0.15463917525773196,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,eng,256,16,1,2004-11-01,Thomas Nelson,0.0625,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,2006-05-19,Wiley,0.848780487804878,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,0,2000-02-07,Heinemann Drama,0.041666666666666664,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,2005-05-03,William Morrow Paperbacks,0.2261904761904762,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,2006-10-30,Wiley,0.28756476683937826,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,0,2006-01-24,McGraw-Hill,0.09230769230769231,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,2004-09-17,Wiley,0.14322916666666666,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,0,2006-06-06,Wiley,0.03461538461538462,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,eng,391,22,1,2004-05-31,Wiley,0.056265984654731455,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,eng,864,17,3,2005-04-25,Wiley,0.019675925925925927,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,2006-07-29,O'Reilly Media,0.19014891179839633,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,2005-05-03,Citadel,0.20833333333333334,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,2005-05-03,Citadel,0.06310679611650485,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1,2007-01-01,O'Reilly Media,0.1245136186770428,501-700,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,16643,1851,2004-05-31,Penguin Classics,19.860381861575178,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,109420,5696,2002-11-05,Signet,113.97916666666667,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,2904,309,2003-01-30,Penguin Books,3.4695340501792113,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,1965-11-26,Cliffs Notes,0.2,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,9564,726,2003-07-01,Barnes & Noble Classics,11.910336239103362,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752,474,72,2004-11-23,Dover Publications,0.6303191489361702,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,48,2004-08-26,Barnes & Noble,0.37733499377334995,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,2006-01-28,Mira Books,1.1416666666666666,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,1987-11-26,Cambridge University Press,9.40625,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,1990-07-03,Penguin Books,21.43125,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Untouchable,John Banville,3.95,eng,367,2163,216,1998-06-30,Vintage,5.893732970027248,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,31,1996-02-01,Buccaneer Books,2.39453125,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,eng,320,308,40,2005-09-27,Scribner,0.9625,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,10,0,1995-01-28,Clarity Press,0.1,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers,0.07142857142857142,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,0,2003-09-22,Pearson,0.046296296296296294,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48,17,0,1991-09-28,Teacher Created Resources,0.3541666666666667,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,1035,23,1994-10-01,Harper Perennial,2.875,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,eng,250,36,6,2002-05-01,EMC/Paradigm Publishing,0.144,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,2002-01-01,Teaching Resources,0.46875,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,spa,205,6,1,1984-06-01,Turtleback Books,0.02926829268292683,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,17,1994-06-01,Little  Brown Book Group,1.0245231607629428,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,237,2006-01-03,William Morrow,8.767045454545455,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,eng,320,352,44,2005-11-01,Atria Books,1.1,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,633,2006-03-07,Tor Books,29.764350453172206,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,821,78,2004-08-10,Vintage Crime/Black Lizard,3.3647540983606556,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,731,72,2005-03-08,Vintage Crime/Black Lizard,3.4,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,2897,178,2004-08-10,Vintage Crime/Black Lizard,15.167539267015707,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,11,1990-10-03,Vintage,0.6805555555555556,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,1688,2005-08-30,Picador USA,28.303523035230352,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,66,19,2001-10-01,Sterling,1.375,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,6,1996-10-03,Puffin,0.28222996515679444,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,981,52,1964-02-01,New Directions Publishing,4.52073732718894,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,141,1994-01-13,Grove Press,21.954545454545453,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,53206,2376,1994-01-06,Grove Press,167.31446540880503,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,459,1994-01-13,Grove Press,42.735632183908045,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,58,1994-01-13,Grove Press,10.319620253164556,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,251,1994-01-12,Grove Press,15.424901185770752,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,142,1970-01-17,New Directions,9.243150684931507,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,61640,1951,2003-09-30,Penguin Classics,77.34002509410288,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635,392,41,2004-01-16,Barnes  Noble Classics,0.6173228346456693,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Writing,Marguerite Duras,3.75,eng,91,778,44,1999-05-06,Brookline Books,8.54945054945055,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The War,Marguerite Duras/Barbara Bray,3.85,eng,192,963,65,1994-08-01,The New Press,5.015625,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
